"Term Set Name","Term Set Description","LCID","Available for Tagging","Term Description","Level 1 Term","Level 2 Term","Level 3 Term","Level 4 Term","Level 5 Term","Level 6 Term","Level 7 Term"
"Intel Categories","Intelligence Product Categories",,True,"Intelligence Categories","African Continent",,,,,,
,,,True,"Intelligence Categories","Adversary Financing",,,,,,
,,,True,"Intelligence Categories","African Lion",,,,,,
,,,True,"Intelligence Categories","Al-Qaida",,,,,,
,,,True,"Intelligence Categories","Al-Shabaab",,,,,,
,,,True,"Intelligence Categories","AQIM",,,,,,
,,,True,"Intelligence Categories","Az-Zallaqa",,,,,,
,,,True,"Intelligence Categories","Captured Enemy Material",,,,,,
,,,True,"Intelligence Categories","Centers of Gravity",,,,,,
,,,True,"Intelligence Categories","China - Africa",,,,,,
,,,True,"Intelligence Categories","Civilian Casualties",,,,,,
,,,True,"Intelligence Categories","Climate Change",,,,,,
,,,True,"Intelligence Categories","Conventional Arms Proliferation",,,,,,
,,,True,"Intelligence Categories","Counter Terrorism",,,,,,
,,,True,"Intelligence Categories","Cyber",,,,,,
,,,True,"Intelligence Categories","Enemy Media",,,,,,
,,,True,"Intelligence Categories","Enemy Personnel",,,,,,
,,,True,"Intelligence Categories","Enemy TTPs",,,,,,
,,,True,"Intelligence Categories","Extremist Recruiting",,,,,,
,,,True,"Intelligence Categories","Foreign Influence",,,,,,
,,,True,"Intelligence Categories","Geospatial Intelligence",,,,,,
,,,True,"Intelligence Categories","High Value Targets",,,,,,
,,,True,"Intelligence Categories","Human Trafficking",,,,,,
,,,True,"Intelligence Categories","Hybrid Threats",,,,,,
,,,True,"Intelligence Categories","IED Processing",,,,,,
,,,True,"Intelligence Categories","Illegal Weapons Trade",,,,,,
,,,True,"Intelligence Categories","Illegal Unreported and Unregulated Fishing",,,,,,
,,,True,"Intelligence Categories","Imminient Threat",,,,,,
,,,True,"Intelligence Categories","Indicators & Warnings",,,,,,
,,,True,"Intelligence Categories","Industry & Economy",,,,,,
,,,True,"Intelligence Categories","Insurgency",,,,,,
,,,True,"Intelligence Categories","Iran - Africa",,,,,,
,,,True,"Intelligence Categories","ISIS",,,,,,
,,,True,"Intelligence Categories","ISR Feed",,,,,,
,,,True,"Intelligence Categories","JNIM",,,,,,
,,,True,"Intelligence Categories","Kidnapping",,,,,,
,,,True,"Intelligence Categories","Law & Policy",,,,,,
,,,True,"Intelligence Categories","Maritime Domain Awareness",,,,,,
,,,True,"Intelligence Categories","Medical Intelligence",,,,,,
,,,True,"Intelligence Categories","Military Alignment",,,,,,
,,,True,"Intelligence Categories","Military Objectives",,,,,,
,,,True,"Intelligence Categories","Militias",,,,,,
,,,True,"Intelligence Categories","Natural Disasters",,,,,,
,,,True,"Intelligence Categories","Natural Resources",,,,,,
,,,True,"Intelligence Categories","Non-Combatant Evacutation Operations",,,,,,
,,,True,"Intelligence Categories","Open-Source Intelligence Reports",,,,,,
,,,True,"Intelligence Categories","Organized Crime",,,,,,
,,,True,"Intelligence Categories","Partner Capabilities",,,,,,
,,,True,"Intelligence Categories","Peacekeeping Operations",,,,,,
,,,True,"Intelligence Categories","Piracy",,,,,,
,,,True,"Intelligence Categories","Political Instability",,,,,,
,,,True,"Intelligence Categories","Political Relations",,,,,,
,,,True,"Intelligence Categories","Propaganda",,,,,,
,,,True,"Intelligence Categories","Refugee",,,,,,
,,,True,"Intelligence Categories","Russia - Africa",,,,,,
,,,True,"Intelligence Categories","Security Cooperation Topics",,,,,,
,,,True,"Intelligence Categories","SITREPS",,,,,,
,,,True,"Intelligence Categories","Social Media",,,,,,
,,,True,"Intelligence Categories","Space Operations",,,,,,
,,,True,"Intelligence Categories","Violent Extremist Organizations",,,,,,
,,,True,"Intelligence Categories","Wagner",,,,,,
