"Term Set Name","Term Set Description","LCID","Available for Tagging","Term Description","Level 1 Term","Level 2 Term","Level 3 Term","Level 4 Term","Level 5 Term","Level 6 Term","Level 7 Term"
"Involved Nations","Nations involved in the intelligence product",,True,"Nation Involved","African Continent",,,,,,
,,,True,"Nation Involved","African Continent",,,,,,
,,,True,"Nation Involved","Algeria",,,,,, 
,,,True,"Nation Involved","Angola",,,,,, 
,,,True,"Nation Involved","Arab Peninsula",,,,,,
,,,True,"Nation Involved","Benin",,,,,, 
,,,True,"Nation Involved","Botswana",,,,,,
,,,True,"Nation Involved","Burkina Faso",,,,,, 
,,,True,"Nation Involved","Burundi",,,,,,
,,,True,"Nation Involved","Cabo Verde",,,,,, 
,,,True,"Nation Involved","Cameroon",,,,,,
,,,True,"Nation Involved","Central African Republic",,,,,,
,,,True,"Nation Involved","Chad",,,,,,
,,,True,"Nation Involved","Comoros",,,,,,
,,,True,"Nation Involved","Cote d'Ivoire",,,,,,
,,,True,"Nation Involved","Democratic Republic of Congo",,,,,,
,,,True,"Nation Involved","Djibouti",,,,,,
,,,True,"Nation Involved","East Africa",,,,,,
,,,True,"Nation Involved","Egypt",,,,,,
,,,True,"Nation Involved","Equatorial Guinea",,,,,,
,,,True,"Nation Involved","Eritrea",,,,,,
,,,True,"Nation Involved","Eswatini",,,,,,
,,,True,"Nation Involved","Ethiopia",,,,,,
,,,True,"Nation Involved","Gabon",,,,,,
,,,True,"Nation Involved","Gambia",,,,,,
,,,True,"Nation Involved","Ghana",,,,,,
,,,True,"Nation Involved","Grand Sahara",,,,,,
,,,True,"Nation Involved","Guinea",,,,,,
,,,True,"Nation Involved","Guinea-Bissau",,,,,,
,,,True,"Nation Involved","Horn of Africa",,,,,,
,,,True,"Nation Involved","Kenya",,,,,,
,,,True,"Nation Involved","Lake Chad Basin",,,,,,
,,,True,"Nation Involved","Lesotho",,,,,,
,,,True,"Nation Involved","Liberia",,,,,,
,,,True,"Nation Involved","Libya",,,,,,
,,,True,"Nation Involved","Madagascar",,,,,,
,,,True,"Nation Involved","Malawi",,,,,,
,,,True,"Nation Involved","Mali",,,,,,
,,,True,"Nation Involved","Mauritania",,,,,,
,,,True,"Nation Involved","Mauritius",,,,,,
,,,True,"Nation Involved","Morocco",,,,,,
,,,True,"Nation Involved","Mozambique",,,,,,
,,,True,"Nation Involved","Namibia",,,,,,
,,,True,"Nation Involved","Niger",,,,,,
,,,True,"Nation Involved","Nigeria",,,,,,
,,,True,"Nation Involved","North Africa",,,,,,
,,,True,"Nation Involved","Outside Africa",,,,,,
,,,True,"Nation Involved","Principe",,,,,,
,,,True,"Nation Involved","Republic of Congo",,,,,,
,,,True,"Nation Involved","Rwanda",,,,,,
,,,True,"Nation Involved","Sahel Region",,,,,,
,,,True,"Nation Involved","Sao Tome",,,,,,
,,,True,"Nation Involved","Senegal",,,,,,
,,,True,"Nation Involved","Seychelles",,,,,,
,,,True,"Nation Involved","Sierra Leone",,,,,,
,,,True,"Nation Involved","Somalia",,,,,,
,,,True,"Nation Involved","South Africa",,,,,,
,,,True,"Nation Involved","South Sudan",,,,,,
,,,True,"Nation Involved","Sudan",,,,,,
,,,True,"Nation Involved","Tanzania",,,,,,
,,,True,"Nation Involved","Togo",,,,,,
,,,True,"Nation Involved","Tunisia",,,,,,
,,,True,"Nation Involved","Uganda",,,,,,
,,,True,"Nation Involved","United States",,,,,,
,,,True,"Nation Involved","USAFRICOM AOR",,,,,,
,,,True,"Nation Involved","West Africa",,,,,,
,,,True,"Nation Involved","Zambia",,,,,,
,,,True,"Nation Involved","Zimbabwe",,,,,,
